Council Code,2015 Average IMD Score,2019 Average IMD Score,2025 Average IMD Score
E06000001,32.873258620689654,34.85312068965517,37.862070175438596
E06000002,40.06368604651163,40.44311627906977,40.92867777777778
E06000003,28.561625000000003,29.841329545454542,30.70342045454545
E06000004,24.100725,25.244108333333333,26.255846774193547
E06000005,24.54169230769231,26.787,26.559363636363635
E06000006,32.39206329113924,32.8756835443038,32.0666625
E06000007,19.48348031496063,18.95548031496063,16.713409090909092
E06000008,34.05732967032967,35.81362637362637,36.68291208791209
E06000009,42.65262765957447,45.907638297872346,43.52754255319149
E06000010,40.99189759036145,40.33506626506024,37.07084523809524
E06000011,15.944990476190476,15.798033333333333,16.124422535211266
E06000012,31.41640566037736,32.04679245283019,30.622457943925234
E06000013,21.219445544554457,21.929435643564357,23.24866990291262
E06000014,12.444825,11.942108333333332,12.061512396694214
E06000015,26.806337748344372,25.27052317880795,26.602236842105263
E06000016,32.860588541666665,30.894651041666666,33.93239
E06000017,9.969608695652173,8.706521739130435,9.843346153846154
E06000018,37.71862637362637,35.73131318681319,35.04772625698324
E06000019,19.78939655172414,18.96776724137931,18.84317094017094
E06000020,25.091166666666666,25.34003703703704,24.595495652173913
E06000021,34.12428301886793,34.04472327044025,33.01248466257669
E06000022,12.394391304347826,12.052582608695653,12.668889830508475
E06000023,26.95642585551331,26.24455513307985,22.255529850746267
E06000024,15.828007407407407,15.883244444444443,15.335971014492754
E06000025,11.357430303030304,11.62049696969697,11.3848
E06000026,26.581173913043482,26.36757142857143,23.958878048780488
E06000027,28.50916853932584,27.75514606741573,26.27591208791209
E06000030,17.652128787878787,18.510363636363635,17.379450000000002
E06000031,27.26901785714286,27.605464285714284,27.269966942148763
E06000032,26.80009917355372,25.034743801652894,28.650696
E06000033,23.816074766355143,21.6996261682243,23.13614814814815
E06000034,21.271551020408165,20.632714285714286,20.63643
E06000035,22.21015337423313,23.79322699386503,24.187337278106508
E06000036,10.564853333333334,10.282426666666668,9.965073170731706
E06000037,10.186567010309279,9.889938144329896,11.08170707070707
E06000038,19.572164948453608,19.960051546391753,18.55276
E06000039,22.752225000000003,23.0155125,22.707785714285713
E06000040,8.931629213483145,8.460516853932583,8.91841573033708
E06000041,5.589484848484849,5.819434343434343,5.911174757281553
E06000042,17.966592105263157,17.95475,18.398186746987953
E06000043,23.605945454545452,20.978539393939393,20.35640606060606
E06000044,26.946752,26.822400000000002,25.826079999999997
E06000045,27.176945945945945,27.261945945945946,25.63957894736842
E06000046,23.08450561797753,23.294426966292136,24.514348314606742
E06000047,26.21504320987654,27.434944444444447,29.849557575757572
E06000049,13.85491452991453,14.188901709401708,14.148364754098361
E06000050,18.292358490566038,18.308811320754717,18.040927927927928
E06000051,16.93916062176166,17.400854922279795,17.93010606060606
E06000052,24.05905828220859,23.32192944785276,22.486214285714286
E06000053,12.013,12.005,12.65
E06000054,13.560498245614037,13.566312280701753,13.7332996742671
E06000055,19.196941747572815,19.100135922330097,19.404119658119658
E06000056,11.978713375796177,11.968337579617835,12.841811428571429
E06000057,20.369426395939087,21.903492385786805,22.14846
E07000008,14.246942028985506,15.434217391304347,12.155025641025642
E07000009,12.21984,11.54288,12.370764705882353
E07000010,25.62390909090909,25.681490909090908,26.320821428571428
E07000011,11.688628571428572,12.457009523809525,11.718135135135135
E07000012,8.067010416666667,8.6168125,9.349343434343435
E07000032,18.17579487179487,18.071410256410257,18.712670886075948
E07000033,24.66779166666667,25.007270833333333,25.457040000000003
E07000034,25.313753623188404,24.784884057971013,25.226710144927537
E07000035,12.240418604651161,11.843325581395348,13.896209302325582
E07000036,19.941150684931507,18.93386301369863,20.664876712328766
E07000037,16.338,15.905423728813561,18.215203389830506
E07000038,16.577,17.187698412698413,18.3768125
E07000039,13.596620689655174,14.523499999999999,14.644951612903226
E07000040,12.671333333333333,12.706506172839507,14.515295454545454
E07000041,18.166635135135135,16.315054054054055,16.057358974358973
E07000042,17.434,17.320372093023256,19.419136363636365
E07000043,20.89405172413793,20.81246551724138,22.45128813559322
E07000044,13.988530612244897,13.585408163265305,15.153204081632651
E07000045,16.259892857142855,15.660142857142857,17.174697674418603
E07000046,22.93554054054054,23.011891891891892,23.65044736842105
E07000047,17.73016129032258,18.011741935483872,18.954125
E07000061,21.08439344262295,21.88967213114754,23.65085
E07000062,33.380150943396224,34.58694339622642,37.42288679245283
E07000063,15.079435483870967,15.762306451612904,16.716467741935485
E07000064,18.578568965517242,19.799706896551726,22.5798275862069
E07000065,11.494031578947368,12.487631578947369,12.850747474747473
E07000066,23.297881818181818,22.80630909090909,22.060624999999998
E07000067,15.358919540229886,14.791563218390804,16.88071590909091
E07000068,9.979478260869564,10.041695652173914,11.023958333333333
E07000069,16.73780701754386,16.84433333333333,17.796666666666667
E07000070,12.30241121495327,12.06096261682243,12.978964601769912
E07000071,17.33009523809524,17.088638095238096,17.803641025641024
E07000072,15.006833333333333,14.7425,13.623820512820512
E07000073,23.758333333333333,21.649870370370373,21.874913793103445
E07000074,14.425675000000002,14.016925,15.735317073170732
E07000075,11.123056603773586,10.532018867924528,11.515150943396227
E07000076,28.19552808988764,30.036853932584272,31.907011235955057
E07000077,9.741739130434782,9.281565217391304,10.15765306122449
E07000078,15.061679999999999,14.291706666666666,12.93838961038961
E07000079,11.125333333333334,10.974862745098038,12.042732142857144
E07000080,17.1437,18.1901,19.2023
E07000081,22.318897435897437,22.098628205128204,21.300743902439024
E07000082,10.966304347826087,10.821985507246376,12.721027777777778
E07000083,12.05234,12.09806,11.591535714285714
E07000084,11.39570642201835,12.672642201834861,12.720304347826087
E07000085,8.694166666666668,10.389000000000001,10.037743243243243
E07000086,9.826337662337663,10.065285714285714,10.895146341463414
E07000087,8.548794520547945,9.120712328767123,8.174465753424657
E07000088,20.247226415094342,20.036566037735852,23.660785714285712
E07000089,5.142333333333333,5.6826491228070175,5.8549999999999995
E07000090,20.980384615384615,21.7630641025641,21.946164556962025
E07000091,12.520947368421051,13.113315789473683,13.00030701754386
E07000092,14.97943103448276,15.662706896551724,15.1268
E07000093,10.50438028169014,11.59823943661972,12.223728395061729
E07000094,8.927785714285715,9.671557142857143,10.579777777777778
E07000095,16.958714285714287,17.6,17.487
E07000096,11.99281914893617,12.80554255319149,13.83925
E07000098,13.015112903225807,14.021645161290323,14.231825396825396
E07000099,11.749329268292684,11.826146341463415,11.558060975609756
E07000102,9.87966037735849,9.83277358490566,9.877345454545456
E07000103,15.70156603773585,15.429849056603775,16.414258620689655
E07000105,17.370858974358974,18.56555128205128,19.869074074074074
E07000106,17.463744444444444,17.569200000000002,19.838434782608694
E07000107,17.76260344827586,18.83653448275862,17.54189552238806
E07000108,21.624268656716417,22.08968656716418,24.79714492753623
E07000109,21.308265625,20.742375,22.864015384615385
E07000110,15.327968421052631,16.175168421052632,18.339636363636362
E07000111,11.834067567567567,12.566662162162162,14.517640000000002
E07000112,22.668567164179105,23.985014925373136,25.435835820895523
E07000113,25.972376470588237,27.344635294117644,26.702911111111113
E07000114,30.75325,30.315440476190474,31.37917441860465
E07000115,11.198055555555555,13.16238888888889,12.890166666666667
E07000116,11.001485294117646,11.351823529411764,14.042840579710145
E07000117,35.79025,37.30198333333333,36.93575
E07000118,17.128863636363636,16.862000000000002,16.76957142857143
E07000119,14.592686274509804,16.10894117647059,15.848470588235296
E07000120,31.496711538461536,33.82386538461538,34.579981132075474
E07000121,24.005719101123596,24.73073033707865,23.32764772727273
E07000122,29.33480701754386,30.239421052631577,33.97629824561404
E07000123,26.82570930232558,28.928255813953488,28.634011494252874
E07000124,9.88445,10.295325,10.355
E07000125,23.88211627906977,24.96144186046512,26.949627906976744
E07000126,14.003285714285715,15.741685714285714,14.62187142857143
E07000127,20.112479452054796,18.82278082191781,18.701835616438355
E07000128,20.480927536231885,22.13468115942029,22.42482608695652
E07000129,10.589633333333333,10.924683333333332,10.761
E07000130,13.792272727272726,13.339868686868686,13.335
E07000131,8.42740425531915,8.06731914893617,9.295365384615383
E07000132,12.787,13.518257575757577,13.81660294117647
E07000133,13.298966666666667,12.558766666666665,15.183066666666665
E07000134,14.983327586206897,14.761672413793104,15.6912
E07000135,13.347694444444445,13.147611111111111,13.397777777777778
E07000136,23.950166666666668,22.851916666666668,28.758025641025643
E07000137,28.507765432098765,29.65964197530864,30.276182926829268
E07000138,29.11142105263158,27.388859649122807,28.997200000000003
E07000139,11.74871875,11.661015625,13.069136363636364
E07000140,18.65948979591837,18.023897959183675,21.045235294117646
E07000141,14.086234567901233,13.317061728395062,15.000107142857143
E07000142,19.91171153846154,20.90146153846154,22.110830188679245
E07000143,19.862448717948716,19.617294871794872,20.31355
E07000144,11.04122619047619,11.767738095238096,12.131411764705883
E07000145,31.837032786885246,32.357245901639345,33.86306666666667
E07000146,23.389730337078653,23.63096629213483,23.813478260869566
E07000147,21.383370967741936,21.107516129032255,21.275112903225807
E07000148,29.06798795180723,28.083301204819275,26.471576470588232
E07000149,13.240185185185185,13.63474074074074,13.205113636363636
E07000170,25.586216216216215,26.502513513513513,25.817623376623377
E07000171,23.307514285714287,23.015585714285713,23.06644927536232
E07000172,14.49694366197183,14.454845070422534,14.03250704225352
E07000173,15.342948051948051,14.967480519480521,14.731493506493507
E07000174,27.72102985074627,28.4310447761194,26.87014705882353
E07000175,18.695742857142857,19.029042857142855,18.88458108108108
E07000176,7.7800441176470585,7.288176470588235,7.94463768115942
E07000177,12.673279569892474,14.474225806451614,12.593098039215688
E07000178,18.117409638554214,16.98675903614458,14.762678571428571
E07000179,8.474303370786517,8.32867415730337,8.557483870967742
E07000180,8.444065789473685,8.382750000000001,9.25916049382716
E07000181,8.224060606060606,8.76909090909091,10.19989705882353
E07000192,21.443533333333335,20.88928333333333,20.379213114754098
E07000193,18.442097222222223,18.521930555555556,18.79138888888889
E07000194,12.80955172413793,12.668620689655173,12.875967741935483
E07000195,18.865225000000002,19.1869125,18.9750375
E07000196,12.52514705882353,13.198617647058823,13.647529411764706
E07000197,13.3387,13.542349999999999,14.27162962962963
E07000198,15.365118644067797,15.205966101694916,14.949338983050847
E07000199,20.253686274509807,20.981333333333332,20.69419607843137
E07000200,15.424148148148149,14.442555555555556,15.500236363636365
E07000202,26.115988235294118,25.704141176470586,25.057411764705883
E07000203,12.690232142857143,13.388214285714286,14.74561403508772
E07000207,7.61874074074074,8.006716049382716,8.093914634146342
E07000208,8.18309090909091,8.441204545454546,8.005760869565217
E07000209,9.653619047619047,9.723202380952381,9.782880952380951
E07000210,8.472425925925926,9.139111111111111,9.410962962962962
E07000211,10.380058139534883,11.379139534883722,10.120555555555557
E07000212,11.105538461538462,12.262173076923078,12.55255769230769
E07000213,13.178933333333333,14.863,14.753836065573772
E07000214,7.671672727272727,7.960890909090909,7.90630909090909
E07000215,10.71034,12.05962,12.736176470588234
E07000216,7.152060975609757,7.616134146341464,8.22220731707317
E07000217,9.698573770491803,10.565262295081967,11.030774193548387
E07000218,16.681263157894737,17.993052631578948,20.027131578947365
E07000219,22.425086419753086,22.882703703703704,23.671559523809524
E07000220,12.836639344262295,13.907311475409836,13.960179104477612
E07000221,11.383369863013698,11.747397260273974,11.879285714285714
E07000222,11.812081395348837,12.065558139534883,10.991204545454545
E07000223,18.326714285714285,17.709357142857144,14.962
E07000224,17.669702127659573,18.653734042553193,19.328969696969697
E07000225,13.002422535211268,14.137478873239436,15.68332
E07000226,17.946363636363635,19.03369696969697,20.576402985074626
E07000227,9.463753086419752,9.571308641975309,9.463966292134831
E07000228,7.57432558139535,7.737162790697674,8.762521739130435
E07000229,17.17789230769231,16.76829230769231,15.661632352941176
E07000234,10.939379310344828,11.624172413793103,11.213716666666667
E07000235,16.03028888888889,16.122622222222223,16.239733333333334
E07000236,20.95349090909091,22.390454545454542,19.86257894736842
E07000237,20.86961904761905,21.261714285714287,19.73721875
E07000238,15.808641025641027,15.687166666666666,15.90714814814815
E07000239,21.260492307692306,21.4184,21.33510447761194
E07000240,7.649218390804597,8.335448275862069,8.099874999999999
E07000241,12.814059701492537,13.99989552238806,13.98531884057971
E07000242,8.286392857142857,8.353107142857144,9.96961111111111
E07000243,18.365192307692308,19.67153846153846,19.026722222222222
E08000001,28.011502824858756,30.14746892655367,30.26257627118644
E08000002,21.517783333333334,23.250383333333332,22.991508333333332
E08000003,40.30923758865248,39.98703900709219,37.96294576271186
E08000004,29.789893617021278,32.287078014184395,34.67385915492958
E08000005,32.57136567164179,33.30633582089552,33.24078518518519
E08000006,32.86498,33.998,31.45201863354037
E08000007,18.705215789473684,20.294915789473684,17.85134554973822
E08000008,29.001070921985814,30.816893617021275,29.199415492957748
E08000009,15.133833333333333,15.912528985507247,14.874021582733814
E08000010,24.737315,25.528415,25.049184999999998
E08000011,41.99122448979592,43.5624387755102,36.88261
E08000012,41.09967785234899,42.517922818791945,36.963009933774835
E08000013,29.863932773109244,31.513142857142856,28.828842975206612
E08000014,26.060708994708996,27.281365079365077,25.275743455497384
E08000015,26.72623300970874,29.43321359223301,27.20305263157895
E08000016,29.8123537414966,30.060891156462585,30.24507432432432
E08000017,28.859355670103092,30.098355670103093,30.466663316582913
E08000018,28.020898203592814,29.347473053892216,29.460582352941177
E08000019,27.396179710144928,26.953753623188405,27.04844023323615
E08000021,28.202754285714285,29.84830285714286,28.6725
E08000022,21.100908396946565,22.11335114503817,21.094345864661655
E08000023,30.642490196078434,31.538480392156863,31.29583495145631
E08000024,29.757205405405404,30.635486486486485,32.74859459459459
E08000025,37.21499530516432,37.608262910798125,37.480081942336874
E08000026,27.884502564102565,25.35287692307692,27.05677832512315
E08000027,22.22294029850746,23.290910447761195,22.263832512315272
E08000028,34.5226559139785,34.87560752688172,33.432173684210525
E08000029,17.59349253731343,17.75452985074627,17.37173134328358
E08000030,29.619203592814372,30.708137724550898,30.67249704142012
E08000031,32.65493670886076,31.51603797468354,31.857496894409937
E08000032,32.49655483870968,33.88911935483871,35.704695512820514
E08000033,25.0050390625,26.73428125,28.02786046511628
E08000034,23.723092664092665,24.868088803088803,25.34271923076923
E08000035,26.574740663900414,27.243360995850622,23.725782786885247
E08000036,26.87165071770335,27.23937320574163,27.34404651162791
E08000037,25.676269841269843,28.031841269841273,27.99807142857143
E09000001,14.303333333333333,14.805,10.246
E09000002,34.68707272727273,32.883472727272725,30.274339130434782
E09000003,17.659189573459717,15.953625592417062,19.099445454545453
E09000004,15.800226027397262,15.88236301369863,14.85035135135135
E09000005,26.197369942196534,25.19985549132948,29.98308287292818
E09000006,15.073573604060915,13.969446700507616,12.54261809045226
E09000007,24.69254887218045,19.981052631578947,23.33462307692308
E09000008,23.18485,21.957304545454544,22.106672489082968
E09000009,23.35175510204082,22.55273979591837,25.420502512562816
E09000010,26.62625136612022,25.403448087431695,29.21125683060109
E09000011,25.249443708609274,24.27517880794702,23.123384146341465
E09000012,35.576861111111114,32.868201388888885,31.77125503355705
E09000013,24.34558407079646,22.32622123893805,21.096252173913044
E09000014,30.693399999999997,27.587200000000003,30.044272108843536
E09000015,14.14709489051095,14.860883211678832,17.032118055555557
E09000016,17.593613333333334,16.35052,15.928176470588236
E09000017,17.775496894409937,17.839329192546586,20.01861176470588
E09000018,22.420845070422533,21.371711267605633,24.51186
E09000019,32.64524390243902,27.706040650406504,26.535158730158727
E09000020,23.62566990291262,22.019300970873786,20.45579207920792
E09000021,10.961357142857143,11.303244897959184,10.741292929292928
E09000022,29.15650561797753,25.797247191011234,23.20432044198895
E09000023,28.896272189349116,26.86936094674556,25.395651428571426
E09000024,14.761024193548387,14.34733064516129,14.017412698412699
E09000025,33.11005487804878,29.771079268292684,31.3531027027027
E09000026,19.845509316770187,16.90785093167702,19.282957317073173
E09000027,10.033269565217392,9.423121739130435,9.491321739130434
E09000028,29.41783734939759,26.041289156626508,23.038473988439307
E09000029,14.414884297520661,13.820280991735537,13.552365853658538
E09000030,35.39049305555555,27.970458333333333,30.435366863905326
E09000031,29.996472222222224,25.136930555555555,23.26913698630137
E09000032,18.049536312849163,16.420262569832403,14.872811827956989
E09000033,27.424546875,20.33184375,23.650731707317075
